President,Start Date,End Date,Approving,Disapproving,Unsure/NoData
Barack Obama,16/01/2017,19/01/2017,59,37,4
Barack Obama,09/01/2017,15/01/2017,57,39,4
Barack Obama,02/01/2017,08/01/2017,55,42,3
Barack Obama,26/12/2016,01/01/2017,55,40,5
Barack Obama,19/12/2016,25/12/2016,56,40,4
Barack Obama,12/12/2016,18/12/2016,56,40,4
Barack Obama,05/12/2016,11/12/2016,57,40,3
Barack Obama,28/11/2016,04/12/2016,54,43,3
Barack Obama,21/11/2016,27/11/2016,56,40,4
Barack Obama,14/11/2016,20/11/2016,56,41,3
Barack Obama,07/11/2016,13/11/2016,57,41,2
Barack Obama,31/10/2016,06/11/2016,53,45,2
Barack Obama,24/10/2016,30/10/2016,54,44,2
Barack Obama,17/10/2016,23/10/2016,55,42,3
Barack Obama,10/10/2016,16/10/2016,54,43,3
Barack Obama,03/10/2016,09/10/2016,52,45,3
Barack Obama,26/09/2016,02/10/2016,53,44,3
Barack Obama,19/09/2016,25/09/2016,53,43,4
Barack Obama,12/09/2016,18/09/2016,52,44,4
Barack Obama,05/09/2016,11/09/2016,51,45,4
Barack Obama,29/08/2016,04/09/2016,52,44,4
Barack Obama,22/08/2016,28/08/2016,51,45,4
Barack Obama,15/08/2016,21/08/2016,51,44,5
Barack Obama,08/08/2016,14/08/2016,52,44,4
Barack Obama,01/08/2016,07/08/2016,52,45,3
Barack Obama,25/07/2016,31/07/2016,53,44,3
Barack Obama,18/07/2016,24/07/2016,49,47,4
Barack Obama,11/07/2016,17/07/2016,49,46,5
Barack Obama,04/07/2016,10/07/2016,51,45,4
Barack Obama,27/06/2016,03/07/2016,51,45,4
Barack Obama,20/06/2016,26/06/2016,50,46,4
Barack Obama,13/06/2016,19/06/2016,53,44,3
Barack Obama,06/06/2016,12/06/2016,53,43,4
Barack Obama,30/05/2016,05/06/2016,51,44,5
Barack Obama,23/05/2016,29/05/2016,52,44,4
Barack Obama,16/05/2016,22/05/2016,51,45,4
Barack Obama,09/05/2016,15/05/2016,51,45,4
Barack Obama,02/05/2016,08/05/2016,52,44,4
Barack Obama,25/04/2016,01/05/2016,51,46,3
Barack Obama,18/04/2016,24/04/2016,51,45,4
Barack Obama,11/04/2016,17/04/2016,48,47,5
Barack Obama,04/04/2016,10/04/2016,51,45,4
Barack Obama,28/03/2016,03/04/2016,51,45,4
Barack Obama,21/03/2016,27/03/2016,53,44,3
Barack Obama,14/03/2016,20/03/2016,50,46,4
Barack Obama,07/03/2016,13/03/2016,51,45,4
Barack Obama,29/02/2016,06/03/2016,50,46,4
Barack Obama,22/02/2016,28/02/2016,48,47,5
Barack Obama,15/02/2016,21/02/2016,48,48,4
Barack Obama,08/02/2016,14/02/2016,48,48,4
Barack Obama,01/02/2016,07/02/2016,47,50,3
Barack Obama,25/01/2016,31/01/2016,48,48,4
Barack Obama,18/01/2016,24/01/2016,48,47,5
Barack Obama,11/01/2016,17/01/2016,48,47,5
Barack Obama,04/01/2016,10/01/2016,47,49,4
Barack Obama,28/12/2015,03/01/2016,45,52,3
Barack Obama,21/12/2015,27/12/2015,48,49,3
Barack Obama,14/12/2015,20/12/2015,45,51,4
Barack Obama,07/12/2015,13/12/2015,45,50,5
Barack Obama,30/11/2015,06/12/2015,47,49,4
Barack Obama,23/11/2015,29/11/2015,46,49,5
Barack Obama,16/11/2015,22/11/2015,44,52,4
Barack Obama,09/11/2015,15/11/2015,49,47,4
Barack Obama,02/11/2015,08/11/2015,49,48,3
Barack Obama,26/10/2015,01/11/2015,47,49,4
Barack Obama,19/10/2015,25/10/2015,46,50,4
Barack Obama,12/10/2015,18/10/2015,46,50,4
Barack Obama,05/10/2015,11/10/2015,46,50,4
Barack Obama,28/09/2015,04/10/2015,47,49,4
Barack Obama,21/09/2015,27/09/2015,48,49,3
Barack Obama,14/09/2015,20/09/2015,46,51,3
Barack Obama,07/09/2015,13/09/2015,46,49,5
Barack Obama,31/08/2015,06/09/2015,46,50,4
Barack Obama,24/08/2015,30/08/2015,46,50,4
Barack Obama,17/08/2015,23/08/2015,44,51,5
Barack Obama,10/08/2015,16/08/2015,46,49,5
Barack Obama,03/08/2015,09/08/2015,46,50,4
Barack Obama,27/07/2015,02/08/2015,46,49,5
Barack Obama,20/07/2015,26/07/2015,46,50,4
Barack Obama,13/07/2015,19/07/2015,46,48,6
Barack Obama,06/07/2015,12/07/2015,46,49,5
Barack Obama,29/06/2015,05/07/2015,46,49,5
Barack Obama,22/06/2015,28/06/2015,47,49,4
Barack Obama,15/06/2015,21/06/2015,45,50,5
Barack Obama,08/06/2015,14/06/2015,45,49,6
Barack Obama,01/06/2015,07/06/2015,46,49,5
Barack Obama,25/05/2015,31/05/2015,47,49,4
Barack Obama,18/05/2015,24/05/2015,46,49,5
Barack Obama,11/05/2015,17/05/2015,47,49,4
Barack Obama,04/05/2015,10/05/2015,47,48,5
Barack Obama,27/04/2015,03/05/2015,48,48,4
Barack Obama,20/04/2015,26/04/2015,45,49,6
Barack Obama,13/04/2015,19/04/2015,46,50,4
Barack Obama,06/04/2015,12/04/2015,48,48,4
Barack Obama,30/03/2015,05/04/2015,47,48,5
Barack Obama,23/03/2015,29/03/2015,46,49,5
Barack Obama,16/03/2015,22/03/2015,45,50,5
Barack Obama,09/03/2015,15/03/2015,47,48,5
Barack Obama,02/03/2015,08/03/2015,46,49,5
Barack Obama,23/02/2015,01/03/2015,45,50,5
Barack Obama,16/02/2015,22/02/2015,46,49,5
Barack Obama,09/02/2015,15/02/2015,47,48,5
Barack Obama,02/02/2015,08/02/2015,46,49,5
Barack Obama,26/01/2015,01/02/2015,47,48,5
Barack Obama,19/01/2015,25/01/2015,49,47,4
Barack Obama,12/01/2015,18/01/2015,46,49,5
Barack Obama,05/01/2015,11/01/2015,46,48,6
Barack Obama,29/12/2014,04/01/2015,46,48,6
Barack Obama,22/12/2014,28/12/2014,44,50,6
Barack Obama,15/12/2014,21/12/2014,45,51,4
Barack Obama,08/12/2014,14/12/2014,43,52,5
Barack Obama,01/12/2014,07/12/2014,43,52,5
Barack Obama,24/11/2014,30/11/2014,43,52,5
Barack Obama,17/11/2014,23/11/2014,42,53,5
Barack Obama,10/11/2014,16/11/2014,42,52,6
Barack Obama,03/11/2014,09/11/2014,40,54,6
Barack Obama,27/10/2014,02/11/2014,42,53,5
Barack Obama,20/10/2014,26/10/2014,42,53,5
Barack Obama,13/10/2014,19/10/2014,41,54,5
Barack Obama,06/10/2014,12/10/2014,41,55,4
Barack Obama,29/09/2014,05/10/2014,43,53,4
Barack Obama,22/09/2014,28/09/2014,42,52,6
Barack Obama,15/09/2014,21/09/2014,43,52,5
Barack Obama,08/09/2014,14/09/2014,41,54,5
Barack Obama,01/09/2014,07/09/2014,40,53,7
Barack Obama,25/08/2014,31/08/2014,41,53,6
Barack Obama,18/08/2014,24/08/2014,43,51,6
Barack Obama,11/08/2014,17/08/2014,41,53,6
Barack Obama,04/08/2014,10/08/2014,42,53,5
Barack Obama,28/07/2014,03/08/2014,42,54,4
Barack Obama,21/07/2014,27/07/2014,41,53,6
Barack Obama,14/07/2014,20/07/2014,43,51,6
Barack Obama,07/07/2014,13/07/2014,42,53,5
Barack Obama,30/06/2014,06/07/2014,43,52,5
Barack Obama,23/06/2014,29/06/2014,42,52,6
Barack Obama,16/06/2014,22/06/2014,41,55,4
Barack Obama,09/06/2014,15/06/2014,42,52,6
Barack Obama,02/06/2014,08/06/2014,44,50,6
Barack Obama,26/05/2014,01/06/2014,44,51,5
Barack Obama,19/05/2014,25/05/2014,43,52,5
Barack Obama,12/05/2014,18/05/2014,44,51,5
Barack Obama,05/05/2014,11/05/2014,45,50,5
Barack Obama,28/04/2014,04/05/2014,44,50,6
Barack Obama,21/04/2014,27/04/2014,44,50,6
Barack Obama,14/04/2014,20/04/2014,44,50,6
Barack Obama,07/04/2014,13/04/2014,43,51,6
Barack Obama,31/03/2014,06/04/2014,44,51,5
Barack Obama,24/03/2014,30/03/2014,43,52,5
Barack Obama,17/03/2014,23/03/2014,44,51,5
Barack Obama,10/03/2014,16/03/2014,40,54,6
Barack Obama,03/03/2014,09/03/2014,43,53,4
Barack Obama,24/02/2014,02/03/2014,42,54,4
Barack Obama,17/02/2014,23/02/2014,45,51,4
Barack Obama,10/02/2014,16/02/2014,40,53,7
Barack Obama,03/02/2014,09/02/2014,41,51,8
Barack Obama,27/01/2014,02/02/2014,42,50,8
Barack Obama,20/01/2014,26/01/2014,42,50,8
Barack Obama,13/01/2014,19/01/2014,40,52,8
Barack Obama,06/01/2014,12/01/2014,41,51,8
Barack Obama,02/01/2014,05/01/2014,41,53,6
